,ticker,ds,yhat,yhat_lower,yhat_upper,date_run
252,WMT,2018-11-17,102.10227592695372,99.70063052814734,104.58846349061062,2018-11-17
253,WMT,2018-11-18,102.19847717852323,99.78032965821022,104.55166397040841,2018-11-17
254,WMT,2018-11-19,101.46091525510795,99.1610854900385,103.90234545030172,2018-11-17
255,WMT,2018-11-20,101.63238626072109,99.24741635524188,103.95562830183664,2018-11-17
256,WMT,2018-11-21,101.61987939065196,99.30878562572879,103.91841348686259,2018-11-17
257,WMT,2018-11-22,101.72906474210676,99.30423331081478,104.08755163036733,2018-11-17
258,WMT,2018-11-23,101.88260406130267,99.51177971269355,104.1698789742616,2018-11-17
259,WMT,2018-11-24,102.77568517605671,100.42192341023228,105.06369537763932,2018-11-17
260,WMT,2018-11-25,102.87188642762578,100.36210921082476,105.21949591663457,2018-11-17
261,WMT,2018-11-26,102.13432450421081,99.55972368718442,104.35250107436258,2018-11-17
252,BRK.A,2018-11-17,313529.94186245307,305120.95079845266,322152.33206813567,2018-11-17
253,BRK.A,2018-11-18,313498.86899013806,304703.57466808707,323183.95904977253,2018-11-17
254,BRK.A,2018-11-19,318306.4234192026,309625.91852894914,327366.08602642745,2018-11-17
255,BRK.A,2018-11-20,318482.61352823046,310734.41469349276,327632.83573523344,2018-11-17
256,BRK.A,2018-11-21,318741.2441716199,310177.9255878059,326982.1333677548,2018-11-17
257,BRK.A,2018-11-22,318440.4560181051,309231.1098383246,326794.98552658607,2018-11-17
258,BRK.A,2018-11-23,317998.5415715257,309947.2307378099,326792.2737185366,2018-11-17
259,BRK.A,2018-11-24,313312.43177168333,304036.6815605246,321782.6170981278,2018-11-17
260,BRK.A,2018-11-25,313281.3588993712,304381.81694680534,322358.86848640314,2018-11-17
261,BRK.A,2018-11-26,318088.91332843434,309234.50051640044,326996.3027568018,2018-11-17
252,AAPL,2018-11-17,206.1421496213159,198.41114653496925,213.31605937090814,2018-11-17
253,AAPL,2018-11-18,205.9297110267838,198.57287159228,213.70671580067142,2018-11-17
254,AAPL,2018-11-19,206.33780414000088,199.42902143444985,213.8343026405858,2018-11-17
255,AAPL,2018-11-20,206.94686121766102,199.47189477497784,214.03024474350454,2018-11-17
256,AAPL,2018-11-21,206.7547805603659,198.96591477047065,214.35377250328384,2018-11-17
257,AAPL,2018-11-22,206.8178271836908,199.2382969271918,214.2797924330313,2018-11-17
258,AAPL,2018-11-23,206.21764344908254,198.12650128686482,214.10199709525267,2018-11-17
259,AAPL,2018-11-24,204.65507905542512,197.49859804724986,212.09891753126553,2018-11-17
260,AAPL,2018-11-25,204.4426404608942,196.16988607238878,211.65298436900406,2018-11-17
261,AAPL,2018-11-26,204.8507335741114,197.47235757515156,212.93487422833456,2018-11-17
252,XOM,2018-11-17,79.93505415402034,77.30781080456887,82.59860439594583,2018-11-17
253,XOM,2018-11-18,79.92996766116583,77.08178430301763,82.45224802648639,2018-11-17
254,XOM,2018-11-19,80.72070959170244,77.9850087632907,83.23289573079461,2018-11-17
255,XOM,2018-11-20,80.60423498278382,78.05947467012462,83.22649199742183,2018-11-17
256,XOM,2018-11-21,80.63689550824185,78.05690119527256,83.32409418499573,2018-11-17
257,XOM,2018-11-22,80.7023015703543,77.98511856240846,83.25666064870123,2018-11-17
258,XOM,2018-11-23,80.63310632778423,77.94268198093907,83.15195257864585,2018-11-17
259,XOM,2018-11-24,79.89944876269418,77.03741173915444,82.39519091648076,2018-11-17
260,XOM,2018-11-25,79.89436226984017,77.2981562962599,82.59373691847412,2018-11-17
261,XOM,2018-11-26,80.68510420037651,77.89113901526623,83.42571897846052,2018-11-17
252,MCK,2018-11-17,126.89752529434902,120.2441324274206,133.16976191873323,2018-11-17
253,MCK,2018-11-18,126.89817681003525,120.44061074919847,132.69309681160843,2018-11-17
254,MCK,2018-11-19,129.3560954899598,123.46779864935336,135.2846004774545,2018-11-17
255,MCK,2018-11-20,129.19357128970165,122.62228048870918,135.24811026862199,2018-11-17
256,MCK,2018-11-21,129.51334247303333,123.53530024389417,135.8861157500272,2018-11-17
257,MCK,2018-11-22,128.9104481529117,122.67451979145449,134.92712359961766,2018-11-17
258,MCK,2018-11-23,129.01775902312622,122.5144911131784,135.0788874473847,2018-11-17
259,MCK,2018-11-24,126.90208641365095,120.76448667475057,132.72349963722124,2018-11-17
260,MCK,2018-11-25,126.90273792933787,120.76406355918402,133.24251458796397,2018-11-17
261,MCK,2018-11-26,129.36065660926138,123.12540794542139,135.53417745436508,2018-11-17
252,UNH,2018-11-17,263.94203983509254,258.0857895044767,269.8493634237145,2018-11-17
253,UNH,2018-11-18,263.9793101680798,257.71973756737424,269.97491146563016,2018-11-17
254,UNH,2018-11-19,266.59596619705843,260.06654417131114,272.16858423092,2018-11-17
255,UNH,2018-11-20,266.8497786711351,260.1493299253027,273.22483625693434,2018-11-17
256,UNH,2018-11-21,266.7926550048425,260.5489187786921,273.07031230183776,2018-11-17
257,UNH,2018-11-22,266.9481626863824,260.84836657915747,273.3719867463824,2018-11-17
258,UNH,2018-11-23,267.5725670914444,261.44789767485923,273.3312596861709,2018-11-17
259,UNH,2018-11-24,264.2029321544305,258.36134679680174,270.25964763689865,2018-11-17
260,UNH,2018-11-25,264.24020248741954,257.8174835649704,270.02410591717256,2018-11-17
261,UNH,2018-11-26,266.8568585163968,260.4713157803754,272.88148106428474,2018-11-17
252,CVS,2018-11-17,77.27278133602307,73.78106336514482,80.60862931002383,2018-11-17
253,CVS,2018-11-18,77.32955626353541,73.682404859545,80.79791725907862,2018-11-17
254,CVS,2018-11-19,77.9039431791975,74.37432773458217,81.26947307713617,2018-11-17
255,CVS,2018-11-20,77.96891423025309,74.7705339977618,81.57078773327926,2018-11-17
256,CVS,2018-11-21,78.17205236866066,74.90009855098867,81.34484808527108,2018-11-17
257,CVS,2018-11-22,78.04044140931221,74.52279101049896,81.73615763880727,2018-11-17
258,CVS,2018-11-23,78.29200475953846,74.67733391364592,81.92674595537255,2018-11-17
259,CVS,2018-11-24,77.67020590576642,74.18784086569067,80.87277056699486,2018-11-17
260,CVS,2018-11-25,77.72698083327883,74.2488434952457,81.13658216200056,2018-11-17
261,CVS,2018-11-26,78.30136774894048,74.93135691275435,81.85365236762678,2018-11-17
252,GM,2018-11-17,33.34484616663979,31.304866026443154,35.457557082899775,2018-11-17
253,GM,2018-11-18,33.32304983633891,31.253945514921305,35.34163415038584,2018-11-17
254,GM,2018-11-19,33.5200697733871,31.500324132943707,35.49589843630631,2018-11-17
255,GM,2018-11-20,33.46748959869179,31.518211262627833,35.39754853037175,2018-11-17
256,GM,2018-11-21,33.432181725244696,31.517272442110535,35.5368093144066,2018-11-17
257,GM,2018-11-22,33.40263850858072,31.369749163481057,35.3993155728162,2018-11-17
258,GM,2018-11-23,33.313785637831245,31.415303367644874,35.24524946621704,2018-11-17
259,GM,2018-11-24,33.19227185458359,31.196713741637684,35.26317734866991,2018-11-17
260,GM,2018-11-25,33.17047552428283,31.357945530559366,35.17557986177869,2018-11-17
261,GM,2018-11-26,33.36749546133102,31.314100381358426,35.24213796613498,2018-11-17
252,F,2018-11-17,8.859902132130518,8.499927565886509,9.193368465053632,2018-11-17
253,F,2018-11-18,8.857195815502791,8.510866601980922,9.214008595837212,2018-11-17
254,F,2018-11-19,9.037170933535682,8.722096369357335,9.362143634399564,2018-11-17
255,F,2018-11-20,9.057509150190349,8.711125931153672,9.390024298868108,2018-11-17
256,F,2018-11-21,9.045760560826627,8.704828760118238,9.391687307379442,2018-11-17
257,F,2018-11-22,9.009841610099047,8.644998258359289,9.339899419198687,2018-11-17
258,F,2018-11-23,8.987584288751654,8.643705841932444,9.314826944633836,2018-11-17
259,F,2018-11-24,8.84095792613202,8.50498113595389,9.210686624118331,2018-11-17
260,F,2018-11-25,8.838251609504397,8.49879166512419,9.162691645673156,2018-11-17
261,F,2018-11-26,9.018226727537263,8.673490783750688,9.35845285819967,2018-11-17
252,T,2018-11-17,30.545646284499558,29.598324092827184,31.51617623647974,2018-11-17
253,T,2018-11-18,30.522528190941006,29.547623966988397,31.47501137695097,2018-11-17
254,T,2018-11-19,31.01827047928253,30.052912398381846,31.993931366577247,2018-11-17
255,T,2018-11-20,31.04993216041654,30.08687819947162,32.10229087597606,2018-11-17
256,T,2018-11-21,30.848187473679975,29.834906557158703,31.783114197035403,2018-11-17
257,T,2018-11-22,30.835585029186234,29.88525872616403,31.76166770029677,2018-11-17
258,T,2018-11-23,30.830070347475427,29.883215351354806,31.739393552757395,2018-11-17
259,T,2018-11-24,30.383819771999143,29.391983734796497,31.365177171460758,2018-11-17
260,T,2018-11-25,30.36070167844103,29.321613898468186,31.3190160012173,2018-11-17
261,T,2018-11-26,30.856443966782503,29.894863623652387,31.890231668653396,2018-11-17
